z,n,symbol,half_life_sec,zaid,formula
13,17,Al,3.62,13030,Al30
13,18,Al,0.644,13031,Al31
13,19,Al,0.033,13032,Al32
13,20,Al,0.0417,13033,Al33
13,21,Al,0.0563,13034,Al34
13,22,Al,0.0383,13035,Al35
13,23,Al,0.09,13036,Al36
13,24,Al,0.0107,13037,Al37
13,25,Al,0.009,13038,Al38
13,26,Al,0.0076,13039,Al39
13,27,Al,2.6e-07,13040,Al40
13,28,Al,,13041,Al41
13,29,Al,1.7e-07,13042,Al42
13,30,Al,1.7e-07,13043,Al43
14,8,Si,0.029,14022,Si22
14,9,Si,0.0423,14023,Si23
14,10,Si,0.1413,14024,Si24
14,11,Si,0.22,14025,Si25
14,12,Si,2.2453,14026,Si26
14,13,Si,4.15,14027,Si27
14,14,Si,,14028,Si28
14,15,Si,,14029,Si29
14,16,Si,,14030,Si30
14,17,Si,9434.4,14031,Si31
14,18,Si,4954437378.010944,14032,Si32
14,19,Si,6.11,14033,Si33
14,20,Si,2.77,14034,Si34
14,21,Si,0.78,14035,Si35
14,22,Si,0.45,14036,Si36
14,23,Si,0.09,14037,Si37
14,24,Si,0.063,14038,Si38
14,25,Si,0.0475,14039,Si39
14,26,Si,0.033,14040,Si40
14,27,Si,0.02,14041,Si41
14,28,Si,0.0125,14042,Si42
14,29,Si,6e-08,14043,Si43
14,30,Si,3.6e-07,14044,Si44
15,10,P,3e-08,15025,P25
15,11,P,0.0437,15026,P26
15,12,P,0.26,15027,P27
15,13,P,0.2703,15028,P28
15,14,P,4.142,15029,P29
15,15,P,149.88,15030,P30
15,16,P,,15031,P31
15,17,P,1232755.2,15032,P32
15,18,P,2190240.0,15033,P33
15,19,P,12.43,15034,P34
15,20,P,47.3,15035,P35
15,21,P,5.6,15036,P36
15,22,P,2.31,15037,P37
15,23,P,0.64,15038,P38
15,24,P,0.28,15039,P39
15,25,P,0.15,15040,P40
15,26,P,0.101,15041,P41
15,27,P,0.0485,15042,P42
15,28,P,0.0365,15043,P43
15,29,P,0.0185,15044,P44
15,30,P,2e-07,15045,P45
15,31,P,,15046,P46
16,10,S,7.9e-08,16026,S26
16,11,S,0.0155,16027,S27
16,12,S,0.125,16028,S28
16,13,S,0.188,16029,S29
16,14,S,1.178,16030,S30
16,15,S,2.5534,16031,S31
16,16,S,,16032,S32
16,17,S,,16033,S33
16,18,S,,16034,S34
16,19,S,7548768.0,16035,S35
16,20,S,,16036,S36
16,21,S,303.0,16037,S37
16,22,S,10218.0,16038,S38
16,23,S,11.5,16039,S39
16,24,S,8.8,16040,S40
16,25,S,1.99,16041,S41
16,26,S,1.016,16042,S42
16,27,S,0.265,16043,S43
16,28,S,0.1,16044,S44
16,29,S,0.068,16045,S45
16,30,S,0.05,16046,S46
16,32,S,,16048,S48
17,12,Cl,2e-08,17029,Cl29
17,13,Cl,3e-08,17030,Cl30
17,14,Cl,0.19,17031,Cl31
17,15,Cl,0.298,17032,Cl32
17,16,Cl,2.511,17033,Cl33
17,17,Cl,1.5266,17034,Cl34
17,18,Cl,,17035,Cl35
17,19,Cl,9508101796144.57,17036,Cl36
17,20,Cl,,17037,Cl37
17,21,Cl,2233.8,17038,Cl38
17,22,Cl,3372.0,17039,Cl39
17,23,Cl,81.0,17040,Cl40
17,24,Cl,38.4,17041,Cl41
17,25,Cl,6.8,17042,Cl42
17,26,Cl,3.13,17043,Cl43
17,27,Cl,0.56,17044,Cl44
17,28,Cl,0.413,17045,Cl45
17,29,Cl,0.232,17046,Cl46
17,30,Cl,0.101,17047,Cl47
17,31,Cl,,17048,Cl48
17,32,Cl,1.7e-07,17049,Cl49
17,33,Cl,,17050,Cl50
17,34,Cl,,17051,Cl51
17,35,Cl,,17052,Cl52
18,12,Ar,1e-11,18030,Ar30
18,13,Ar,0.015,18031,Ar31
18,14,Ar,0.098,18032,Ar32
18,15,Ar,0.173,18033,Ar33
18,16,Ar,0.8438,18034,Ar34
18,17,Ar,1.7756,18035,Ar35
18,18,Ar,,18036,Ar36
18,19,Ar,3024950.4,18037,Ar37
18,20,Ar,,18038,Ar38
18,21,Ar,8457256161.190656,18039,Ar39
18,22,Ar,,18040,Ar40
18,23,Ar,6576.6,18041,Ar41
18,24,Ar,1038222864.5640768,18042,Ar42
18,25,Ar,322.2,18043,Ar43
18,26,Ar,712.2,18044,Ar44
18,27,Ar,21.48,18045,Ar45
18,28,Ar,8.4,18046,Ar46
18,29,Ar,1.23,18047,Ar47
18,30,Ar,0.416,18048,Ar48
18,31,Ar,0.17,18049,Ar49
18,32,Ar,0.106,18050,Ar50
18,33,Ar,,18051,Ar51
18,34,Ar,,18052,Ar52
18,35,Ar,6.2e-07,18053,Ar53
19,12,K,1e-11,19031,K31
19,14,K,2.5e-08,19033,K33
19,15,K,2.5e-08,19034,K34
19,16,K,0.178,19035,K35
19,17,K,0.341,19036,K36
19,18,K,1.225,19037,K37
19,19,K,459.06,19038,K38
19,20,K,,19039,K39
19,21,K,3.938304361629082e+16,19040,K40
19,22,K,,19041,K41
19,23,K,44478.0,19042,K42
19,24,K,80280.0,19043,K43
19,25,K,1327.8,19044,K44
19,26,K,1068.6,19045,K45
19,27,K,105.0,19046,K46
19,28,K,17.5,19047,K47
19,29,K,6.8,19048,K48
19,30,K,1.26,19049,K49
19,31,K,0.472,19050,K50
19,32,K,0.365,19051,K51
19,33,K,0.11,19052,K52
19,34,K,0.03,19053,K53
19,35,K,0.01,19054,K54
19,36,K,,19055,K55
19,37,K,,19056,K56
20,14,Ca,3.5e-08,20034,Ca34
20,15,Ca,0.0257,20035,Ca35
20,16,Ca,0.1012,20036,Ca36
20,17,Ca,0.1811,20037,Ca37
20,18,Ca,0.44376,20038,Ca38
20,19,Ca,0.8603,20039,Ca39
20,20,Ca,,20040,Ca40
20,21,Ca,3136758441874.445,20041,Ca41
20,22,Ca,,20042,Ca42
20,23,Ca,,20043,Ca43
20,24,Ca,,20044,Ca44
20,25,Ca,14049504.0,20045,Ca45
20,26,Ca,,20046,Ca46
20,27,Ca,391910.4,20047,Ca47
20,28,Ca,9.15150853263168e+26,20048,Ca48
20,29,Ca,523.08,20049,Ca49
20,30,Ca,13.45,20050,Ca50
20,31,Ca,10.0,20051,Ca51
20,32,Ca,4.6,20052,Ca52
20,33,Ca,0.461,20053,Ca53
20,34,Ca,0.107,20054,Ca54
20,35,Ca,0.022,20055,Ca55
20,36,Ca,0.011,20056,Ca56
20,37,Ca,6.2e-07,20057,Ca57
20,38,Ca,6.2e-07,20058,Ca58
21,17,Sc,,21038,Sc38
21,18,Sc,3e-07,21039,Sc39
21,19,Sc,0.1823,21040,Sc40
21,20,Sc,0.5963,21041,Sc41
21,21,Sc,0.68079,21042,Sc42
21,22,Sc,14007.6,21043,Sc43
21,23,Sc,14292.0,21044,Sc44
21,24,Sc,,21045,Sc45
21,25,Sc,7239456.0,21046,Sc46
21,26,Sc,289370.88,21047,Sc47
21,27,Sc,157356.0,21048,Sc48
21,28,Sc,3430.8,21049,Sc49
21,29,Sc,102.5,21050,Sc50
21,30,Sc,12.4,21051,Sc51
21,31,Sc,8.2,21052,Sc52
21,32,Sc,2.6,21053,Sc53
21,33,Sc,0.526,21054,Sc54
21,34,Sc,0.096,21055,Sc55
21,35,Sc,0.026,21056,Sc56
21,36,Sc,0.013,21057,Sc57
21,37,Sc,0.012,21058,Sc58
21,38,Sc,,21059,Sc59
21,40,Sc,,21061,Sc61
22,16,Ti,1.2e-07,22038,Ti38
22,17,Ti,0.0285,22039,Ti39
22,18,Ti,0.0524,22040,Ti40
22,19,Ti,0.0819,22041,Ti41
22,20,Ti,0.20865,22042,Ti42
22,21,Ti,0.509,22043,Ti43
22,22,Ti,1865014325.0983872,22044,Ti44
22,23,Ti,11088.0,22045,Ti45
22,24,Ti,,22046,Ti46
22,25,Ti,,22047,Ti47
22,26,Ti,,22048,Ti48
22,27,Ti,,22049,Ti49
22,28,Ti,,22050,Ti50
22,29,Ti,345.6,22051,Ti51
22,30,Ti,102.0,22052,Ti52
22,31,Ti,32.7,22053,Ti53
22,32,Ti,2.1,22054,Ti54
22,33,Ti,1.3,22055,Ti55
22,34,Ti,0.2,22056,Ti56
22,35,Ti,0.098,22057,Ti57
22,36,Ti,0.058,22058,Ti58
22,37,Ti,0.0285,22059,Ti59
22,38,Ti,0.022,22060,Ti60
22,39,Ti,0.015,22061,Ti61
22,40,Ti,6.2e-07,22062,Ti62
22,41,Ti,3.6e-07,22063,Ti63
22,42,Ti,,22064,Ti64
23,19,V,5.5e-08,23042,V42
23,20,V,0.0793,23043,V43
23,21,V,0.111,23044,V44
23,22,V,0.547,23045,V45
23,23,V,0.4225,23046,V46
23,24,V,1956.0,23047,V47
23,25,V,1380153.6,23048,V48
23,26,V,28512000.0,23049,V49
23,27,V,8.36258538326688e+24,23050,V50
23,28,V,,23051,V51
23,29,V,224.58,23052,V52
23,30,V,92.58,23053,V53
23,31,V,49.8,23054,V54
23,32,V,6.54,23055,V55
23,33,V,0.216,23056,V56
23,34,V,0.32,23057,V57
23,35,V,0.191,23058,V58
23,36,V,0.097,23059,V59
23,37,V,0.122,23060,V60
23,38,V,0.0483,23061,V61
23,39,V,0.0336,23062,V62
23,40,V,0.017,23063,V63
23,41,V,0.015,23064,V64
23,42,V,3.6e-07,23065,V65
23,43,V,3.6e-07,23066,V66
23,44,V,6.2e-07,23067,V67
24,18,Cr,0.0133,24042,Cr42
24,19,Cr,0.0212,24043,Cr43
24,20,Cr,0.0428,24044,Cr44
24,21,Cr,0.0609,24045,Cr45
24,22,Cr,0.26,24046,Cr46
24,23,Cr,0.5,24047,Cr47
24,24,Cr,77616.0,24048,Cr48
24,25,Cr,2538.0,24049,Cr49
24,26,Cr,4.10240037669696e+25,24050,Cr50
24,27,Cr,2393625.6,24051,Cr51
24,28,Cr,,24052,Cr52
24,29,Cr,,24053,Cr53
24,30,Cr,,24054,Cr54
24,31,Cr,209.82,24055,Cr55
24,32,Cr,356.4,24056,Cr56
24,33,Cr,21.1,24057,Cr57
24,34,Cr,7.0,24058,Cr58
24,35,Cr,0.74,24059,Cr59
24,36,Cr,0.49,24060,Cr60
24,37,Cr,0.234,24061,Cr61
24,38,Cr,0.206,24062,Cr62
24,39,Cr,0.129,24063,Cr63
24,40,Cr,0.0429,24064,Cr64
24,41,Cr,0.027,24065,Cr65
24,42,Cr,0.024,24066,Cr66
24,43,Cr,,24067,Cr67
24,44,Cr,3.6e-07,24068,Cr68
24,45,Cr,6.2e-07,24069,Cr69
24,46,Cr,6.2e-07,24070,Cr70
25,19,Mn,1.05e-07,25044,Mn44
25,20,Mn,,25045,Mn45
25,21,Mn,0.0362,25046,Mn46
25,22,Mn,0.1,25047,Mn47
25,23,Mn,0.1577,25048,Mn48
25,24,Mn,0.382,25049,Mn49
25,25,Mn,0.28319,25050,Mn50
25,26,Mn,2772.0,25051,Mn51
25,27,Mn,483062.4,25052,Mn52
25,28,Mn,116760626105990.4,25053,Mn53
25,29,Mn,26974080.0,25054,Mn54
25,30,Mn,,25055,Mn55
25,31,Mn,9284.04,25056,Mn56
25,32,Mn,85.4,25057,Mn57
25,33,Mn,3.0,25058,Mn58
25,34,Mn,4.59,25059,Mn59
25,35,Mn,0.28,25060,Mn60
25,36,Mn,0.709,25061,Mn61
25,37,Mn,0.092,25062,Mn62
25,38,Mn,0.275,25063,Mn63
25,39,Mn,0.09,25064,Mn64
25,40,Mn,0.092,25065,Mn65
25,41,Mn,0.065,25066,Mn66
25,42,Mn,0.047,25067,Mn67
25,43,Mn,0.028,25068,Mn68
25,44,Mn,0.016,25069,Mn69
25,45,Mn,0.0199,25070,Mn70
25,47,Mn,6.2e-07,25072,Mn72
25,48,Mn,,25073,Mn73
26,19,Fe,0.00189,26045,Fe45
26,20,Fe,0.013,26046,Fe46
26,21,Fe,0.0218,26047,Fe47
26,22,Fe,0.0455,26048,Fe48
26,23,Fe,0.0647,26049,Fe49
26,24,Fe,0.152,26050,Fe50
26,25,Fe,0.305,26051,Fe51
26,26,Fe,29790.0,26052,Fe52
26,27,Fe,510.6,26053,Fe53
26,28,Fe,,26054,Fe54
26,29,Fe,86592204.87428045,26055,Fe55
26,30,Fe,,26056,Fe56
26,31,Fe,,26057,Fe57
26,32,Fe,,26058,Fe58
26,33,Fe,3843936.0,26059,Fe59
26,34,Fe,82679146053431.05,26060,Fe60
26,35,Fe,358.8,26061,Fe61
26,36,Fe,68.0,26062,Fe62
26,37,Fe,6.1,26063,Fe63
26,38,Fe,2.0,26064,Fe64
26,39,Fe,0.81,26065,Fe65
26,40,Fe,0.44,26066,Fe66
26,41,Fe,0.6,26067,Fe67
26,42,Fe,0.188,26068,Fe68
26,43,Fe,0.11,26069,Fe69
26,44,Fe,0.065,26070,Fe70
26,45,Fe,0.0357,26071,Fe71
26,46,Fe,1.5e-07,26072,Fe72
26,47,Fe,0.0129,26073,Fe73
26,48,Fe,0.0082,26074,Fe74
26,49,Fe,6.2e-07,26075,Fe75
26,50,Fe,,26076,Fe76
27,21,Co,,27048,Co48
27,23,Co,0.0388,27050,Co50
27,24,Co,0.0688,27051,Co51
27,25,Co,0.104,27052,Co52
27,26,Co,0.24,27053,Co53
27,27,Co,0.19328,27054,Co54
27,28,Co,63108.0,27055,Co55
27,29,Co,6673190.4,27056,Co56
27,30,Co,23478336.0,27057,Co57
27,31,Co,6122304.0,27058,Co58
27,32,Co,,27059,Co59
27,33,Co,166344192.0,27060,Co60
27,34,Co,5936.4,27061,Co61
27,35,Co,92.4,27062,Co62
27,36,Co,27.4,27063,Co63
27,37,Co,0.3,27064,Co64
27,38,Co,1.16,27065,Co65
27,39,Co,0.2,27066,Co66
27,40,Co,0.425,27067,Co67
27,41,Co,0.2,27068,Co68
27,42,Co,0.227,27069,Co69
27,43,Co,0.112,27070,Co70
27,44,Co,0.08,27071,Co71
27,45,Co,0.0599,27072,Co72
27,46,Co,0.0407,27073,Co73
27,47,Co,0.0313,27074,Co74
27,48,Co,0.03,27075,Co75
27,49,Co,0.0217,27076,Co76
27,50,Co,0.013,27077,Co77
27,51,Co,,27078,Co78
28,20,Ni,0.0021,28048,Ni48
28,21,Ni,0.0075,28049,Ni49
28,22,Ni,0.0185,28050,Ni50
28,23,Ni,0.0238,28051,Ni51
28,24,Ni,0.0408,28052,Ni52
28,25,Ni,0.0552,28053,Ni53
28,26,Ni,0.1142,28054,Ni54
28,27,Ni,0.2037,28055,Ni55
28,28,Ni,524880.0,28056,Ni56
28,29,Ni,128160.0,28057,Ni57
28,30,Ni,,28058,Ni58
28,31,Ni,2398326374068.992,28059,Ni59
28,32,Ni,,28060,Ni60
28,33,Ni,,28061,Ni61
28,34,Ni,,28062,Ni62
28,35,Ni,3193560908.6287103,28063,Ni63
28,36,Ni,,28064,Ni64
28,37,Ni,9063.0,28065,Ni65
28,38,Ni,196560.0,28066,Ni66
28,39,Ni,21.0,28067,Ni67
28,40,Ni,29.0,28068,Ni68
28,41,Ni,11.4,28069,Ni69
28,42,Ni,6.0,28070,Ni70
28,43,Ni,2.56,28071,Ni71
28,44,Ni,1.57,28072,Ni72
28,45,Ni,0.84,28073,Ni73
28,46,Ni,0.5077,28074,Ni74
28,47,Ni,0.344,28075,Ni75
28,48,Ni,0.238,28076,Ni76
28,49,Ni,0.1589,28077,Ni77
28,50,Ni,0.11,28078,Ni78
28,51,Ni,0.043,28079,Ni79
28,52,Ni,0.024,28080,Ni80
28,53,Ni,,28081,Ni81
28,54,Ni,,28082,Ni82
29,24,Cu,1.3e-07,29053,Cu53
29,25,Cu,7.5e-08,29054,Cu54
29,26,Cu,0.0559,29055,Cu55
29,27,Cu,0.0804,29056,Cu56
29,28,Cu,0.1963,29057,Cu57
29,29,Cu,3.204,29058,Cu58
29,30,Cu,81.5,29059,Cu59
29,31,Cu,1422.0,29060,Cu60
29,32,Cu,12020.4,29061,Cu61
29,33,Cu,580.2,29062,Cu62
29,34,Cu,,29063,Cu63
29,35,Cu,45722.16,29064,Cu64
29,36,Cu,,29065,Cu65
29,37,Cu,307.2,29066,Cu66
29,38,Cu,222588.0,29067,Cu67
29,39,Cu,30.9,29068,Cu68
29,40,Cu,171.0,29069,Cu69
29,41,Cu,44.5,29070,Cu70
29,42,Cu,19.4,29071,Cu71
29,43,Cu,6.63,29072,Cu72
29,44,Cu,4.2,29073,Cu73
29,45,Cu,1.63,29074,Cu74
29,46,Cu,1.224,29075,Cu75
29,47,Cu,0.641,29076,Cu76
29,48,Cu,0.4698,29077,Cu77
29,49,Cu,0.335,29078,Cu78
29,50,Cu,0.241,29079,Cu79
29,51,Cu,0.1136,29080,Cu80
29,52,Cu,0.0732,29081,Cu81
29,53,Cu,0.033,29082,Cu82
29,54,Cu,,29083,Cu83
30,24,Zn,0.00159,30054,Zn54
30,25,Zn,0.0198,30055,Zn55
30,26,Zn,0.0324,30056,Zn56
30,27,Zn,0.04,30057,Zn57
30,28,Zn,0.0867,30058,Zn58
30,29,Zn,0.1786,30059,Zn59
30,30,Zn,142.8,30060,Zn60
30,31,Zn,89.1,30061,Zn61
30,32,Zn,33094.8,30062,Zn62
30,33,Zn,2308.2,30063,Zn63
30,34,Zn,,30064,Zn64
30,35,Zn,21075552.0,30065,Zn65
30,36,Zn,,30066,Zn66
30,37,Zn,,30067,Zn67
30,38,Zn,,30068,Zn68
30,39,Zn,3384.0,30069,Zn69
30,40,Zn,1.199163187034496e+26,30070,Zn70
30,41,Zn,145.2,30071,Zn71
30,42,Zn,167400.0,30072,Zn72
30,43,Zn,24.5,30073,Zn73
30,44,Zn,95.6,30074,Zn74
30,45,Zn,10.2,30075,Zn75
30,46,Zn,5.7,30076,Zn76
30,47,Zn,2.08,30077,Zn77
30,48,Zn,1.47,30078,Zn78
30,49,Zn,0.746,30079,Zn79
30,50,Zn,0.5619,30080,Zn80
30,51,Zn,0.32,30081,Zn81
30,52,Zn,0.166,30082,Zn82
30,53,Zn,0.117,30083,Zn83
30,54,Zn,0.0536,30084,Zn84
30,55,Zn,6.37e-07,30085,Zn85
31,28,Ga,4.3e-08,31059,Ga59
31,29,Ga,0.07,31060,Ga60
31,30,Ga,0.167,31061,Ga61
31,31,Ga,0.116121,31062,Ga62
31,32,Ga,32.4,31063,Ga63
31,33,Ga,157.62,31064,Ga64
31,34,Ga,912.0,31065,Ga65
31,35,Ga,34164.0,31066,Ga66
31,36,Ga,281810.88,31067,Ga67
31,37,Ga,4062.6,31068,Ga68
31,38,Ga,,31069,Ga69
31,39,Ga,1268.4,31070,Ga70
31,40,Ga,,31071,Ga71
31,41,Ga,50760.0,31072,Ga72
31,42,Ga,17496.0,31073,Ga73
31,43,Ga,487.2,31074,Ga74
31,44,Ga,126.0,31075,Ga75
31,45,Ga,32.6,31076,Ga76
31,46,Ga,13.2,31077,Ga77
31,47,Ga,5.09,31078,Ga78
31,48,Ga,2.848,31079,Ga79
31,49,Ga,1.9,31080,Ga80
31,50,Ga,1.217,31081,Ga81
31,51,Ga,0.6,31082,Ga82
31,52,Ga,0.3081,31083,Ga83
31,53,Ga,0.0952,31084,Ga84
31,54,Ga,0.092,31085,Ga85
31,55,Ga,0.043,31086,Ga86
31,56,Ga,6.34e-07,31087,Ga87
32,27,Ge,0.0133,32059,Ge59
32,28,Ge,1.1e-07,32060,Ge60
32,29,Ge,0.044,32061,Ge61
32,30,Ge,0.129,32062,Ge62
32,31,Ge,0.15,32063,Ge63
32,32,Ge,63.7,32064,Ge64
32,33,Ge,30.9,32065,Ge65
32,34,Ge,8136.0,32066,Ge66
32,35,Ge,1134.0,32067,Ge67
32,36,Ge,23408352.0,32068,Ge68
32,37,Ge,140580.0,32069,Ge69
32,38,Ge,,32070,Ge70
32,39,Ge,987552.0,32071,Ge71
32,40,Ge,,32072,Ge72
32,41,Ge,,32073,Ge73
32,42,Ge,,32074,Ge74
32,43,Ge,4966.8,32075,Ge75
32,44,Ge,,32076,Ge76
32,45,Ge,40359.6,32077,Ge77
32,46,Ge,5280.0,32078,Ge78
32,47,Ge,18.98,32079,Ge79
32,48,Ge,29.5,32080,Ge80
32,49,Ge,7.6,32081,Ge81
32,50,Ge,4.0,32082,Ge82
32,51,Ge,1.85,32083,Ge83
32,52,Ge,0.954,32084,Ge84
32,53,Ge,0.503,32085,Ge85
32,54,Ge,0.226,32086,Ge86
32,55,Ge,0.14,32087,Ge87
32,56,Ge,3e-07,32088,Ge88
32,57,Ge,,32089,Ge89
32,58,Ge,,32090,Ge90
33,30,As,4.3e-08,33063,As63
33,31,As,0.069,33064,As64
33,32,As,0.128,33065,As65
33,33,As,0.09577,33066,As66
33,34,As,42.5,33067,As67
33,35,As,151.6,33068,As68
33,36,As,912.0,33069,As69
33,37,As,3156.0,33070,As70
33,38,As,235080.0,33071,As71
33,39,As,93600.0,33072,As72
33,40,As,6937920.0,33073,As73
